zip_code;town;canton
1279;Chavannes-de-Bogis;VD
1274;Grens;VD
1275;Chéserex;VD
1276;Gingins;VD
1270;Trélex;VD
1271;Givrins;VD
1272;Genolier;VD
1273;Arzier-Le Muids;VD
1268;Burtigny;VD
1261;Marchissy;VD
1261;Le Vaud;VD
1269;Bassins;VD
1261;Longirod;VD
1188;St-George;VD
1262;Eysins;VD
1263;Crassier;VD
1264;St-Cergue;VD
1265;La Cure;VD
1266;Duillier;VD
1267;Vich-Coinsins;VD
1268;Begnins;VD
1281;Russin;GE
1283;Dardagny;GE
1283;La Plaine;GE
1284;Chancy;GE
1285;Athenaz (Avusy);GE
1286;Soral;GE
1287;Laconnex;GE
1288;Aire-la-Ville;GE
1290;Versoix;GE
1291;Commugny;VD
1292;Chambésy;GE
1293;Bellevue;GE
1294;Genthod;GE
1295;Mies-Tannay;VD
1296;Coppet;VD
1297;Founex;VD
1298;Céligny;GE
1299;Crans-près-Céligny;VD
1302;Vufflens-la-Ville;VD
1304;Cossonay-Ville;VD
1304;Dizy;VD
1307;Lussery-Villars;VD
1305;Penthalaz;VD
1315;La Sarraz;VD
1317;Orny;VD
1316;Chevilly;VD
1337;Vallorbe;VD
1338;Ballaigues;VD
1341;Orient;VD
1346;Les Bioux;VD
1344;L'Abbaye;VD
1342;Le Pont;VD
1343;Les Charbonnières;VD
1345;Le Lieu;VD
1347;Le Sentier;VD
1348;Le Brassus;VD
1306;Daillens;VD
1303;Penthaz;VD
1308;La Chaux (Cossonay);VD
1148;Cuarnens;VD
1313;Ferreyres;VD
1148;Moiry VD;VD
1321;Arnex-sur-Orbe;VD
1318;Pompaples;VD
1312;Eclépens;VD
1329;Bretonnières;VD
1322;Croy;VD
1323;Romainmôtier;VD
1324;Premier;VD
1325;Vaulion;VD
1326;Juriens;VD
1148;La Praz;VD
1148;Mont-la-Ville;VD
1350;Orbe;VD
1352;Agiez;VD
1353;Bofflens;VD
1354;Montcherand;VD
1355;L'Abergement;VD
1356;Les Clées;VD
1357;Lignerolle;VD
1358;Valeyres-sous-Rances;VD
1439;Rances;VD
1373;Chavornay;VD
1372;Bavois;VD
1374;Corcelles-sur-Chavornay;VD
1375;Penthéréaz;VD
1376;Goumoens-la-Ville;VD
1400;Yverdon-les-Bains;VD
1400;Yverdon-les-Bains 1;VD
1400;Yverdon 2;VD
1401;Yverdon-les-Bains;VD
1417;Essertines-sur-Yverdon;VD
1416;Pailly;VD
1418;Vuarrens;VD
1420;Fiez;VD
1421;Fontaines-sur-Grandson;VD
1423;Villars-Burquin;VD
1453;Mauborget;VD
1429;Giez;VD
1430;Orges;VD
1431;Vugelles-La Mothe;VD
1405;Pomy;VD
1406;Cronay;VD
1407;Donneloye;VD
1408;Prahins;VD
1409;Chanéaz;VD
1412;Valeyres-sous-Ursins;VD
1413;Orzens;VD
1046;Rueyres;VD
1404;Cuarny;VD
1427;Bonvillars;VD
1424;Champagne;VD
1431;Novalles;VD
1423;Fontanezier;VD
1415;Molondin;VD
1422;Grandson;VD
1425;Onnens VD;VD
1426;Concise;VD
1426;Corcelles-près-Concise;VD
1432;Belmont-sur-Yverdon;VD
1433;Suchy;VD
1434;Ependes VD;VD
1435;Essert-Pittet;VD
1436;Treycovagnes;VD
1437;Suscévaz;VD
1438;Mathod;VD
1441;Valeyres-sous-Montagny;VD
1442;Montagny-près-Yverdon;VD
1443;Champvent;VD
1445;Vuiteboeuf;VD
1446;Baulmes;VD
1450;Ste-Croix;VD
1450;La Sagne (Ste-Croix);VD
1454;L'Auberson;VD
1452;Les Rasses;VD
1453;Bullet;VD
1450;Le Château-de-Ste-Croix;VD
1462;Yvonand;VD
1463;Rovray;VD
1464;Chavannes-le-Chêne;VD
1464;Chêne-Pâquier;VD
1468;Cheyres;FR
1470;Estavayer-le-Lac;FR
1473;Font;FR
1474;Châbles FR;FR
1483;Montet (Broye);FR
1482;Cugy FR;FR
1541;Bussy FR;FR
1484;Aumont;FR
1485;Nuvilly;FR
1486;Vuissens;FR
1537;Champtauroz;VD
1538;Treytorrens (Payerne);VD
1489;Murist;FR
1510;Moudon;VD
1512;Chavannes-sur-Moudon;VD
1513;Hermenches;VD
1514;Bussy-sur-Moudon;VD
1522;Oulens-sur-Lucens;VD
1515;Villars-le-Comte;VD
1515;Neyruz-sur-Moudon;VD
1410;Denezy;VD
1522;Lucens;VD
1521;Curtilles;VD
1523;Granges-près-Marnand;VD
1527;Villeneuve FR;FR
1528;Surpierre;FR
1529;Cheiry;FR
1530;Payerne;VD
1532;Fétigny;FR
1533;Ménières;FR
1534;Sassel;VD
1536;Combremont-le-Petit;VD
1526;Forel-sur-Lucens;VD
1526;Cremin;VD
1542;Rueyres-les-Prés;FR
1543;Grandcour;VD
1544;Gletterens;FR
1545;Chevroux;VD
1551;Vers-chez-Perrin;VD
1552;Trey;VD
1553;Châtonnaye;FR
1554;Sédeilles;VD
1555;Villarzel;VD
1682;Villars-Bramard;VD
1682;Dompierre VD;VD
1535;Combremont-le-Grand;VD
1562;Corcelles-près-Payerne;VD
1563;Dompierre FR;FR
1564;Domdidier;FR
1565;Missy;VD
1475;Autavaux;FR
1567;Delley;FR
1568;Portalban;FR
1566;St-Aubin FR;FR
1580;Avenches;VD
1583;Villarepos;FR
1584;Villars-le-Grand;VD
1585;Salavaux;VD
1586;Vallamand;VD
1587;Montmagny;VD
1589;Chabrey;VD
1587;Constantine;VD
1588;Cudrefin;VD
1595;Faoug;VD
1607;Palézieux-Village;VD
1610;Châtillens;VD
1673;Ecublens FR;FR
1525;Henniez;VD
1524;Marnand;VD
1090;La Croix (Lutry);VD
1091;Grandvaux;VD
1091;Aran;VD
1070;Puidoux;VD
1071;Chexbres;VD
1072;Forel (Lavaux);VD
1607;Palézieux;VD
1614;Granges (Veveyse);FR
1615;Bossonnens;FR
1616;Attalens;FR
1617;Remaufens;FR
1618;Châtel-St-Denis;FR
1619;Les Paccots;FR
1623;Semsales;FR
1624;La Verrerie;FR
1627;Vaulruz;FR
1628;Vuadens;FR
1630;Bulle;FR
1633;Vuippens;FR
1642;Sorens;FR
1643;Gumefens;FR
1644;Avry-devant-Pont;FR
1645;Le Bry;FR
1646;Echarlens;FR
1647;Corbières;FR
1648;Hauteville;FR
1656;Im Fang;FR
1656;Jaun;FR
1657;Abländschen;BE
1654;Cerniat FR;FR
1651;Villarvolard;FR
1652;Botterens;FR
1638;Morlon;FR
1663;Moléson-sur-Gruyères;FR
1632;Riaz;FR
1633;Marsens;FR
1634;La Roche FR;FR
1649;Pont-la-Ville;FR
1635;La Tour-de-Trême;FR
1636;Broc;FR
1637;Charmey (Gruyère);FR
1661;Le Pâquier-Montbarry;FR
1663;Pringy;FR
1665;Estavannens;FR
1667;Enney;FR
1669;Neirivue;FR
1669;Albeuve;FR
1663;Gruyères;FR
1663;Epagny;FR
1666;Grandvillard;FR
1610;Oron-la-Ville;VD
1675;Vauderens;FR
1670;Ursy;FR
1674;Vuarmarens;FR
1673;Rue;FR
1673;Promasens;FR
1678;Siviriez;FR
1679;Villaraboud;FR
1676;Chavannes-les-Forts;FR
1677;Prez-vers-Siviriez;FR
1680;Romont FR;FR
1681;Billens;FR
1682;Prévonloup;VD
1683;Brenles;VD
1683;Chesalles-sur-Moudon;VD
1694;Orsonnens;FR
1694;Villarsiviriaux;FR
1695;Villarlod;FR
1696;Vuisternens-en-Ogoz;FR
1684;Mézières FR;FR
1685;Villariaz;FR
1687;Estévenens;FR
1686;Grangettes-près-Romont;FR
1689;Le Châtelard-près-Romont;FR
1688;Sommentier;FR
1626;Romanens;FR
1692;Massonnens;FR
1687;Vuisternens-devant-Romont;FR
1625;Sâles (Gruyère);FR
1612;Ecoteaux;VD
1613;Maracon;VD
1608;Oron-le-Châtel;VD
1609;St-Martin FR;FR
1611;Le Crêt-près-Semsales;FR
1697;La Joux FR;FR
1699;Bouloz;FR
1699;Porsel;FR
1699;Pont (Veveyse);FR
1700;Fribourg;FR
1700;Fribourg 1;FR
1702;Fribourg;FR
1704;Fribourg;FR
1705;Fribourg;FR
1707;Fribourg;FR
1708;Fribourg;FR
1763;Granges-Paccot;FR
1700;Fribourg 1 Distribution;FR
1701;Fribourg;FR
1720;Corminboeuf;FR
1721;Misery-Courtion;FR
1735;Giffers;FR
1736;St. Silvester;FR
1737;Plasselb;FR
1738;Sangernboden;BE
1716;Schwarzsee;FR
1724;Bonnefontaine;FR
1727;Corpataux-Magnedens;FR
1728;Rossens FR;FR
1719;Brünisried;FR
1731;Ependes FR;FR
1732;Arconciel;FR
1733;Treyvaux;FR
1720;Chésopelloz;FR
1712;Tafers;FR
1713;St. Antoni;FR
1714;Heitenried;FR
1715;Alterswil FR;FR
1716;Plaffeien;FR
1717;St. Ursen;FR
1718;Rechthalten;FR
1722;Bourguillon;FR
1723;Marly;FR
1724;Le Mouret;FR
1725;Posieux;FR
1726;Farvagny;FR
1746;Prez-vers-Noréaz;FR
1747;Corserey;FR
1748;Torny-le-Grand;FR
1749;Middes;FR
1740;Neyruz FR;FR
1741;Cottens FR;FR
1744;Chénens;FR
1745;Lentigny;FR
1742;Autigny;FR
1695;Estavayer-le-Gibloux;FR
1691;Villarimboud;FR
1752;Villars-sur-Glâne;FR
1752;Villars-sur-Glâne 1;FR
1752;Villars-sur-Glâne 2;FR
1753;Matran;FR
1754;Rosé;FR
1756;Onnens FR;FR
1757;Noréaz;FR
1690;Villaz-St-Pierre;FR
1762;Givisiez;FR
1772;Grolley;FR
1773;Léchelles;FR
1774;Cousset;FR
1776;Montagny-la-Ville;FR
1795;Courlevon;FR
1796;Courgevaux;FR
1797;Münchenwiler;BE
1794;Salvenach;FR
1793;Jeuss;FR
1792;Cordast;FR
1791;Courtaman;FR
1788;Praz (Vully);FR
1789;Lugnorre;FR
1782;Belfaux;FR
1783;Pensier;FR
1784;Courtepin;FR
1785;Cressier FR;FR
1786;Sugiez;FR
1787;Môtier (Vully);FR
1800;Vevey;VD
1800;Vevey 1;VD
1800;Vevey 1 Distribution;VD
1801;Le Mont-Pèlerin;VD
1808;Les Monts-de-Corsier;VD
1809;Fenil-sur-Corsier;VD
1802;Corseaux;VD
1803;Chardonne;VD
1804;Corsier-sur-Vevey;VD
1805;Jongny;VD
1806;St-Légier-La Chiésaz;VD
1807;Blonay;VD
1071;Rivaz;VD
1071;St-Saphorin (Lavaux);VD
1814;La Tour-de-Peilz;VD
1815;Clarens;VD
1816;Chailly-Montreux;VD
1817;Brent;VD
1820;Montreux;VD
1820;Montreux 1;VD
1820;Montreux 2;VD
1820;Territet-Veytaux;VD
1820;Montreux 1 Distribution;VD
1822;Chernex;VD
1823;Glion;VD
1824;Caux;VD
1832;Villard-sur-Chamby;VD
1669;Les Sciernes-d'Albeuve;FR
1658;La Tine;VD
1660;Les Moulins;VD
1659;Flendruz;VD
1660;L'Etivaz;VD
1832;Chamby;VD
1833;Les Avants;VD
1669;Montbovon;FR
1658;Rossinière;VD
1660;Château-d'Oex;VD
1659;Rougemont;VD
1844;Villeneuve VD;VD
1847;Rennaz;VD
1845;Noville;VD
1846;Chessel;VD
1852;Roche VD;VD
1853;Yvorne;VD
1854;Leysin;VD
1867;St-Triphon;VD
1860;Aigle;VD
1856;Corbeyrier;VD
1862;La Comballaz;VD
1862;Les Mosses;VD
1866;La Forclaz VD;VD
1884;Huémoz;VD
1867;Panex;VD
1863;Le Sépey;VD
1864;Vers-l'Eglise;VD
1865;Les Diablerets;VD
1867;Ollon VD;VD
1868;Collombey;VS
1870;Monthey;VS
1870;Monthey 1;VS
1870;Monthey 2;VS
1871;Choëx;VS
1871;Les Giettes;VS
1872;Troistorrents;VS
1873;Val-d'Illiez;VS
1874;Champéry;VS
1875;Morgins;VS
1880;Bex;VD
1880;Fenalet-sur-Bex;VD
1880;Frenières-sur-Bex;VD
1880;Les Plans-sur-Bex;VD
1882;Gryon;VD
1884;Villars-sur-Ollon;VD
1885;Chesières;VD
1890;St-Maurice;VS
1890;Mex VS;VS
1891;Vérossaz;VS
1869;Massongex;VS
1895;Vionnaz;VS
1897;Les Evouettes;VS
1899;Torgon;VS
1892;Lavey-Village;VD
1893;Muraz (Collombey);VS
1896;Vouvry;VS
1896;Miex;VS
1897;Bouveret;VS
1898;St-Gingolph;VS
1902;Evionnaz;VS
1903;Collonges;VS
1904;Vernayaz;VS
1905;Dorénaz;VS
1906;Charrat;VS
1907;Saxon;VS
1908;Riddes;VS
1912;Leytron;VS
1911;Ovronnaz;VS
1913;Saillon;VS
1914;Isérables;VS
1918;La Tzoumaz;VS
1955;Chamoson;VS
1955;St-Pierre-de-Clages;VS
1957;Ardon;VS
1920;Martigny;VS
1920;Martigny 1;VS
1920;Martigny 2;VS
1921;Martigny-Croix;VS
1923;Le Trétien;VS
1925;Le Châtelard VS;VS
1927;Chemin;VS
1929;Trient;VS
1928;Ravoire;VS
1922;Salvan;VS
1922;Les Granges (Salvan);VS
1923;Les Marécottes;VS
1925;Finhaut;VS
1926;Fully;VS
1932;Bovernier;VS
1947;Versegères;VS
1941;Vollèges;VS
1942;Levron;VS
1948;Lourtier;VS
1948;Fionnay;VS
1948;Sarreyer;VS
1945;Liddes;VS
1946;Bourg-St-Pierre;VS
1943;Praz-de-Fort;VS
1944;La Fouly VS;VS
1933;Sembrancher;VS
1934;Le Châble VS;VS
1936;Verbier;VS
1937;Orsières;VS
1938;Champex-Lac;VS
1950;Sion;VS
1950;Sion 1;VS
1950;Sion 1 Distribution;VS
1951;Sion;VS
1950;Sion 2;VS
1950;Sion 3;VS
1975;St-Séverin;VS
1976;Erde;VS
1976;Aven;VS
1976;Daillon;VS
1971;Grimisuat;VS
1974;Arbaz;VS
1961;Vernamiège;VS
1973;Nax;VS
1968;Mase;VS
1969;St-Martin VS;VS
1981;Vex;VS
1982;Euseigne;VS
1984;Les Haudères;VS
1986;Arolla;VS
1985;La Sage;VS
1987;Hérémence;VS
1988;Les Collons;VS
1991;Salins;VS
1992;Les Agettes;VS
1992;Les Mayens-de-Sion;VS
1993;Veysonnaz;VS
1997;Siviez (Nendaz);VS
1996;Fey (Nendaz);VS
1996;Beuson (Nendaz);VS
1996;Baar (Nendaz);VS
1996;Basse-Nendaz;VS
1997;Haute-Nendaz;VS
1994;Aproz (Nendaz);VS
1962;Pont-de-la-Morge (Sion);VS
1963;Vétroz;VS
1964;Conthey;VS
1965;Savièse;VS
1966;Ayent;VS
1966;Signèse (Ayent);VS
1967;Bramois;VS
1983;Evolène;VS
1972;Anzère;VS
1988;Thyon;VS
2000;Neuchâtel;NE
2001;Neuchâtel 1 Dépôt;NE
2000;Neuchâtel 2;NE
2004;Neuchâtel 4;NE
2007;Neuchâtel 7;NE
2008;Neuchâtel;NE
2009;Neuchâtel 9;NE
2001;Neuchâtel 1;NE
2002;Neuchâtel 2;NE
2000;Neuchâtel 2 Distribution;NE
2003;Neuchâtel 3;NE
2006;Neuchâtel 6;NE
2012;Auvernier;NE
2013;Colombier NE;NE
2014;Bôle;NE
2015;Areuse;NE
2016;Cortaillod;NE
2017;Boudry;NE
2022;Bevaix;NE
2023;Gorgier;NE
2024;St-Aubin-Sauges;NE
2025;Chez-le-Bart;NE
2028;Vaumarcus;NE
2034;Peseux;NE
2035;Corcelles NE;NE
2036;Cormondrèche;NE
2042;Valangin;NE
2043;Boudevilliers;NE
2046;Fontaines NE;NE
2052;Fontainemelon;NE
2053;Cernier;NE
2054;Chézard-St-Martin;NE
2054;Les Vieux-Prés;NE
2056;Dombresson;NE
2057;Villiers;NE
2058;Le Pâquier NE;NE
2063;Vilars NE;NE
2065;Savagnier;NE
2067;Chaumont;NE
2068;Hauterive NE;NE
2072;St-Blaise;NE
2073;Enges;NE
2074;Marin-Epagnier;NE
3238;Gals;BE
2087;Cornaux NE;NE
2088;Cressier NE;NE
2318;Brot-Plamboz;NE
2103;Noiraigue;NE
2105;Travers;NE
2108;Couvet;NE
2112;Môtiers NE;NE
2113;Boveresse;NE
2114;Fleurier;NE
2115;Buttes;NE
2117;La Côte-aux-Fées;NE
2123;St-Sulpice NE;NE
2406;La Brévine;NE
2126;Les Verrières;NE
2406;Le Brouillet;NE
2406;Les Taillères;NE
2127;Les Bayards;NE
2149;Champ-du-Moulin;NE
2124;Les Sagnettes;NE
2116;Mont-de-Buttes;NE
1454;La Vraconnaz;VD
2019;Chambrelien;NE
2019;Rochefort;NE
2037;Montmollin;NE
2206;Les Geneveys-sur-Coffrane;NE
2207;Coffrane;NE
2208;Les Hauts-Geneveys;NE
2300;La Chaux-de-Fonds;NE
2300;La Chaux-de-Fonds 1;NE
2302;La Chaux-de-Fonds;NE
2303;La Chaux-de-Fonds;NE
2300;La Chaux-de-Fonds 1 Dist;NE
2301;La Chaux-de-Fonds;NE
2304;La Chaux-de-Fonds;NE
2316;Petit-Martel;NE
2338;Les Emibois;JU
2314;La Sagne NE;NE
2316;Les Ponts-de-Martel;NE
2322;Le Crêt-du-Locle;NE
2325;Les Planchettes;NE
2300;La Cibourg;NE
2333;La Ferrière;BE
2336;Les Bois;JU
2400;Le Locle;NE
2406;La Châtagne;NE
2405;La Chaux-du-Milieu;NE
2400;Le Prévoux;NE
2414;Le Cerneux-Péquignot;NE
2416;Les Brenets;NE
2500;Biel/Bienne;BE
2500;Biel/Bienne 1;BE
2500;Biel/Bienne 3;BE
2500;Biel/Bienne 4;BE
2500;Biel/Bienne 6;BE
2500;Biel/Bienne 7;BE
2500;Biel/Bienne 8;BE
2500;Biel/Bienne 1 Zustellung;BE
2500;Biel/Bienne 1 Annahme;BE
2501;Biel/Bienne;BE
2502;Biel/Bienne;BE
2503;Biel/Bienne;BE
2504;Biel/Bienne;BE
2505;Biel/Bienne;BE
2512;Tüscherz-Alfermée;BE
2513;Twann;BE
2514;Ligerz;BE
2515;Prêles;BE
2516;Lamboing;BE
2517;Diesse;BE
2518;Nods;BE
2520;La Neuveville;BE
2523;Lignières;NE
2525;Le Landeron;NE
2532;Magglingen/Macolin;BE
2533;Evilard;BE
2534;Orvin;BE
2534;Les Prés-d'Orvin;BE
2535;Frinvillier;BE
2536;Plagne;BE
2537;Vauffelin;BE
2538;Romont BE;BE
2540;Grenchen;SO
2540;Grenchen 1;SO
2540;Grenchen Schmelzi;SO
2542;Pieterlen;BE
2543;Lengnau BE;BE
2544;Bettlach;SO
2545;Selzach;SO
2552;Orpund;BE
2553;Safnern;BE
2554;Meinisberg;BE
2555;Brügg BE;BE
2556;Scheuren;BE
2557;Studen BE;BE
2558;Aegerten;BE
2560;Nidau;BE
2562;Port;BE
2563;Ipsach;BE
2564;Bellmund;BE
2565;Jens;BE
2572;Sutz;BE
2575;Täuffelen;BE
2576;Lüscherz;BE
2577;Siselen BE;BE
3237;Brüttelen;BE
2603;Péry;BE
2604;La Heutte;BE
2605;Sonceboz-Sombeval;BE
2606;Corgémont;BE
2607;Cortébert;BE
2608;Courtelary;BE
2608;Montagne-de-Courtelary;BE
2610;St-Imier;BE
2610;Mont-Soleil;BE
2610;Mont-Crosin;BE
2612;Cormoret;BE
2613;Villeret;BE
2615;Sonvilier;BE
2615;Montagne-de-Sonvilier;BE
2616;Renan BE;BE
2710;Tavannes;BE
2712;Le Fuet;BE
2714;Le Prédame;JU
2717;Fornet-Dessous;BE
2718;Fornet-Dessus;JU
2715;Châtelat-Monible;BE
2716;Sornetan;BE
2713;Bellelay;BE
2714;Les Genevez JU;JU
2718;Lajoux JU;JU
2720;Tramelan;BE
2720;La Tanne;BE
2722;Les Reussilles;BE
2723;Mont-Tramelan;BE
2345;Les Breuleux;JU
2345;Le Cerneux-Veusil;JU
2345;La Chaux-des-Breuleux;JU
2340;Le Noirmont;JU
2350;Saignelégier;JU
2353;Les Pommerats;JU
2354;Goumois;JU
2732;Reconvilier;BE
2732;Saicourt;BE
2732;Saules BE;BE
2732;Loveresse;BE
2733;Pontenet;BE
2735;Malleray-Bévilard;BE
2735;Bévilard;BE
2736;Sorvilier;BE
2738;Court;BE
2740;Moutier;BE
2742;Perrefitte;BE
2748;Souboz;BE
2743;Eschert;BE
2744;Belprahon;BE
2747;Seehof;BE
2745;Grandval;BE
2746;Crémines;BE
2747;Corcelles BE;BE
2762;Roches BE;BE
2832;Rebeuvelier;JU
2830;Courrendlin;JU
2800;Delémont;JU
2800;Delémont 1;JU
2800;Delémont 2;JU
2800;Delémont 1 Distribution;JU
2802;Develier;JU
2803;Bourrignon;JU
2805;Soyhières;JU
2806;Mettembert;JU
2807;Pleigne;JU
2807;Lucelle;JU
2812;Movelier;JU
2813;Ederswiler;JU
2814;Roggenburg;BL
2822;Courroux;JU
2823;Courcelon;JU
2824;Vicques;JU
2825;Courchapoix;JU
2826;Corban;JU
2827;Mervelier;JU
2828;Montsevelier;JU
2829;Vermes;JU
2842;Rossemaison;JU
